id,district,area,year,rainfall,irrigation,total_irrigation,seed_required,seed_available,fertilizer,pesticides,production,total_cost
79,Sylhet,768,2017,5944,3,194,414.72,40.186,0.235,946.584,2657,26570
80,Sylhet,712,2018,5477,4,204,384.48,37.256,0.289,1122.322,2541,25410
81,Maulavibazar,1066,2009,1927,4,101,575.64,55.78,0.215,290.67,3519,35190
82,Maulavibazar,1033,2010,2352,3,97,557.82,54.053,0.287,276.765,2784,27840
83,Maulavibazar,1094,2011,2282,3,100,590.76,57.245,0.233,235.07,3041,30410
84,Maulavibazar,1243,2012,2518,4,99,671.22,65.041,0.213,227.999,4172,41720
85,Maulavibazar,1428,2013,2546,3,102,771.12,74.722,0.221,254.012,4851,48510
86,Maulavibazar,2263,2014,3813,3,107,1222.02,118.414,0.205,213.866,7753,77530
87,Maulavibazar,1746,2015,1856,4,106,942.84,91.361,0.291,189.606,5478,54780
88,Maulavibazar,1832,2016,1391,3,98,989.28,95.861,0.228,695.221,6075,60750
89,Maulavibazar,2146,2017,1750,3,112,1158.84,112.292,0.224,946.584,7168,71680
90,Maulavibazar,2341,2018,1839,4,109,1264.14,122.495,0.28,1122.322,8142,81420
91,Sunamgonj,473,2009,1543,1,302,255.42,24.75,0.239,290.67,1268,12680
92,Sunamgonj,443,2010,1450,1,315,239.22,23.18,0.228,276.765,1161,11610
93,Sunamgonj,490,2011,1295,1,335,264.6,25.64,0.254,235.07,1292,12920
94,Sunamgonj,486,2012,2121,1,357,262.44,25.43,0.274,227.999,1461,14610
95,Sunamgonj,775,2013,1458,1,359,418.5,40.553,0.23,254.012,2375,23750
96,Sunamgonj,739,2014,1662,1,391,399.06,38.669,0.204,213.866,2626,26260
97,Sunamgonj,795,2015,1298,1,394,429.3,41.599,0.211,189.606,2943,29430
98,Sunamgonj,765,2016,1792,1,412,413.1,40.029,0.206,695.221,2875,28750
99,Sunamgonj,894,2017,1345,1,384,482.76,46.779,0.261,946.584,3451,34510
100,Sunamgonj,841,2018,1931,1,409,454.14,44.006,0.285,1122.322,3276,32760
101,Hobigonj,1538,2009,5412,4,212,830.52,80.477,0.231,290.67,4492,44920
102,Hobigonj,1531,2010,3810,4,217,826.74,80.111,0.287,276.765,4458,44580
103,Hobigonj,1770,2011,4258,4,220,955.8,92.617,0.243,235.07,4131,41310
104,Hobigonj,2197,2012,4978,4,224,1186.38,114.96,0.283,227.999,5788,57880
105,Hobigonj,2334,2013,4869,4,218,1260.36,122.129,0.277,254.012,6890,68900
106,Hobigonj,2126,2014,4186,4,221,1148.04,111.245,0.213,213.866,6840,68400
107,Hobigonj,2215,2015,3507,4,223,1196.1,115.902,0.205,189.606,5941,59410
108,Hobigonj,2185,2016,5447,4,227,1179.9,114.332,0.22,695.221,5680,56800
109,Hobigonj,2394,2017,4299,4,216,1292.76,125.268,0.223,946.584,7412,74120
110,Hobigonj,2349,2018,4178,4,219,1268.46,122.914,0.209,1122.322,7106,71060
111,Dhaka,24,2009,1930,2,120,12.96,1.256,0.272,290.67,34,340
112,Dhaka,22,2010,1523,2,125,11.88,1.151,0.242,276.765,31,310
113,Dhaka,26,2011,1776,2,127,14.04,1.36,0.234,235.07,37,370
114,Dhaka,28,2012,1329,2,128,15.12,1.465,0.223,227.999,40,400
115,Dhaka,25,2013,1590,2,130,13.5,1.308,0.272,254.012,36,360
116,Dhaka,24,2014,1399,2,133,12.96,1.256,0.286,213.866,35,350
117,Dhaka,32,2015,2166,2,128,17.28,1.674,0.217,189.606,45,450
118,Gazipur,184,2009,1690,2,169,99.36,9.628,0.236,290.67,607,6070
119,Gazipur,198,2010,1720,2,182,106.92,10.361,0.266,276.765,689,6890
120,Gazipur,195,2011,1673,2,178,105.3,10.204,0.271,235.07,673,6730
121,Gazipur,180,2012,2247,2,177,97.2,9.419,0.206,227.999,647,6470
122,Gazipur,187,2013,1784,2,180,100.98,9.785,0.289,254.012,669,6690
123,Gazipur,176,2014,1831,2,180,95.04,9.209,0.273,213.866,629,6290
124,Gazipur,185,2015,1508,2,188,99.9,9.68,0.213,189.606,645,6450
125,Gazipur,196,2016,2110,,,105.84,10.256,0.266,695.221,684,6840
126,Manikgonj,25,2009,1584,3,148,13.5,1.308,0.288,290.67,37,370
127,Manikgonj,9,2010,1409,3,142,4.86,0.471,0.224,276.765,13,130
128,Manikgonj,5,2011,1509,3,147,2.7,0.262,0.253,235.07,7,70
129,Manikgonj,5,2012,1279,3,148,28.62,2.773,0.273,227.999,8,80
130,Manikgonj,53,2013,1639,3,149,25.38,2.459,0.237,254.012,99,990
131,Manikgonj,47,2014,1552,3,158,31.86,3.087,0.226,213.866,167,1670
132,Manikgonj,59,2015,1580,2,160,198.18,19.204,0.243,189.606,248,2480
133,Narayangonj,367,2009,1330,3,78,101.52,9.837,0.231,290.67,1884,18840
134,Narayangonj,188,2010,1312,4,82,4.32,0.419,0.253,276.765,658,6580
135,Narayangonj,8,2011,1546,4,78,3.78,0.366,0.258,235.07,6,60
136,Narayangonj,7,2012,2152,5,81,3.24,0.314,0.284,227.999,22,220
137,Narayangonj,6,2013,1426,3,80,207.9,20.146,0.219,254.012,18,180
138,Narayangonj,385,2014,1877,4,79,256.5,24.855,0.256,213.866,2048,20480
139,Narayangonj,475,2015,2084,4,79,423.9,41.076,0.208,189.606,2312,23120
140,Narsingdi,785,2009,3024,3,160,425.52,41.233,0.213,290.67,4349,43490
141,Narsingdi,788,2010,2289,4,166,419.04,40.605,0.28,276.765,3219,32190
142,Narsingdi,776,2011,2568,4,168,443.34,42.96,0.239,235.07,3136,31360
143,Narsingdi,821,2012,3092,5,170,51.3,4.971,0.245,227.999,2614,26140
144,Narsingdi,95,2013,2628,3,171,540,52.326,0.289,254.012,322,3220
145,Narsingdi,1000,2014,3120,4,170,508.14,49.239,0.286,213.866,3465,34650
146,Narsingdi,941,2015,1877,4,167,1447.2,140.234,0.269,189.606,3178,31780
147,Jamalpur,2680,2009,2025,18,632,680.4,65.931,0.238,290.67,13805,138050
148,Jamalpur,1260,2010,1641,14,637,749.52,72.628,0.24,276.765,5206,52060
149,Jamalpur,1388,2011,1644,14,640,718.2,69.594,0.235,235.07,5043,50430
150,Jamalpur,1330,2012,1511,9,406,577.26,55.936,0.214,227.999,5069,50690
151,Jamalpur,1069,2013,1827,9,415,887.22,85.972,0.224,254.012,3922,39220
152,Jamalpur,1643,2014,1398,10,421,974.16,94.396,0.234,213.866,6238,62380
153,Jamalpur,1804,2015,3171,10,420,406.08,39.349,0.287,189.606,7541,75410
154,Sherpur,752,2009,2658,6,251,508.14,49.239,0.229,290.67,2375,23750
155,Sherpur,941,2010,2702,6,255,548.1,53.111,0.239,276.765,3284,32840
156,Sherpur,1015,2011,3894,6,254,792.18,76.762,0.254,235.07,3556,35560
157,Sherpur,1467,2012,4966,6,254,888.3,86.076,0.225,227.999,4857,48570
158,Sherpur,1645,2013,4677,6,255,888.3,86.076,0.217,254.012,6056,60650
159,Sherpur,1645,2014,4203,5,256,929.34,90.053,0.222,213.866,6481,64810
160,Sherpur,1721,2015,2693,1,437,1597.32,154.78,0.272,189.606,6874,68740
161,Kishoregonj,2958,2009,4253,4,848,1436.4,139.187,0.249,290.67,9475,94750
162,Kishoregonj,2660,2010,3702,4,857,1493.1,144.681,0.226,276.765,9198,91980
163,Kishoregonj,2765,2011,3611,4,856,1729.08,167.548,0.279,235.07,7802,7802
164,Kishoregonj,3202,2012,3509,5,428,1900.26,184.135,0.28,227.999,10394,103940
165,Kishoregonj,3519,2013,4260,9,432,1833.84,177.699,0.238,254.012,11134,111340
166,Kishoregonj,3396,2014,4081,8,426,1861.92,180.42,0.263,213.866,10950,109500
167,Kishoregonj,3448,2015,3183,9,426,1090.8,105.699,0.253,189.606,12545,125450
168,Netrokona,2020,2009,3468,1,421,1026,99.419,0.206,290.67,4776,47760
169,Netrokona,1900,2010,4024,1,428,1265.76,122.652,0.234,276.765,4487,44870
170,Netrokona,2344,2011,2945,1,430,1508.76,146.199,0.211,235.07,6982,69820
171,Netrokona,2794,2012,3119,1,428,1411.56,136.78,0.203,227.999,8588,85880
172,Netrokona,2614,2013,2868,1,436,1412.1,136.832,0.249,254.012,7948,79480
173,Netrokona,2615,2014,3758,1,443,1536.3,148.867,0.277,213.866,7207,72070
174,Netrokona,2845,2015,3933,1,445,4004.1,387.997,0.258,189.606,8741,87410
175,Mymenshing,7415,2009,1662,2,680,3923.1,380.148,0.226,290.67,21251,212510
176,Mymenshing,7265,2010,2095,2,651,3728.16,361.259,0.265,276.765,20656,206560
177,Mymenshing,6904,2011,2147,2,649,3866.4,374.654,0.268,235.07,19423,194230
178,Mymenshing,7160,2012,1479,2,692,3957.66,383.497,0.238,227.999,24813,248130
179,Mymenshing,7329,2013,1739,3,678,3500.28,339.177,0.283,254.012,24739,247390
180,Mymenshing,6482,2014,1934,2,692,3917.16,379.573,0.288,213.866,22507,225070
181,Mymenshing,7254,2015,2084,5,672,2312.28,224.06,0.21,189.606,25486,254860
182,Tangail,4282,2009,1391,2,503,2371.14,229.763,0.251,290.67,17643,176430
183,Tangail,4391,2010,1750,2,505,2170.26,210.298,0.221,276.765,14758,147580
184,Tangail,4019,2011,1839,2,503,2042.82,197.949,0.265,235.07,13823,138230
185,Tangail,3783,2012,1469,2,511,1882.44,182.408,0.224,227.999,14200,142000
186,Tangail,3486,2013,1182,2,519,2008.26,194.6,0.238,254.012,12622,126220
187,Tangail,3719,2014,1641,3,520,2077.92,201.35,0.209,213.866,13717,137170
188,Tangail,3848,2015,1871,3,530,45.9,4.448,0.291,189.606,14751,147510
189,Barisal,85,2009,1820,9,400,0,0,0.24,290.67,580,5800
190,Barisal,0,2010,1662,1,169,0,0,0,0,0,0
191,Barisal,0,2011,1909,1,166,0,0,0,0,0,0
192,Barisal,0,2012,1617,1,175,0,0,0,0,0,0
193,Barisal,0,2013,2321,1,188,0,0,0,0,0,0
194,Barisal,0,2014,1454,1,161,0,0,0,0,0,0
195,Barisal,0,2015,2434,1,162,991.98,96.123,0,0,0,0
196,Bhola,1837,2009,1920,5,209,151.2,14.651,0.245,290.67,11638,116380
197,Bhola,280,2010,1774,5,201,0,0,0.236,276.765,1778,17780
198,Bhola,0,2011,2015,5,222,0,0,0,0,0,0
199,Bhola,0,2012,1493,6,220,0,0,0,0,0,0
200,Bhola,0,2013,2194,5,224,0,0,0,0,0,0
201,Bhola,0,2014,1762,6,135,0,0,0,0,0,0
202,Bhola,0,2015,2649,7,135,5.94,0.576,0,0,0,0
203,Bagerhat,11,2009,2589,1,128,0,0,0.239,290.67,27,270
204,Bagerhat,0,2010,2968,1,122,0,0,0,0,0,0
205,Bagerhat,0,2011,3811,1,130,0,0,0,0,0,0
206,Bagerhat,0,2012,5412,1,120,0,0,0,0,0,0
207,Bagerhat,0,2013,3810,1,123,0,0,0,0,0,0
208,Bagerhat,0,2014,4978,1,126,0,0,0,0,0,0
209,Bagerhat,0,2015,4869,1,114,777.6,75.349,0,0,0,0
210,Chuadanga,1440,2009,4186,5,444,0,0,0.266,290.67,7400,74000
211,Chuadanga,0,2010,852,4,459,0,0,0,0,0,0
212,Chuadanga,0,2011,1622,5,480,0,0,0,0,0,0
213,Chuadanga,0,2012,1138,5,490,0,0,0,0,0,0
214,Chuadanga,0,2013,1165,4,462,0,0,0,0,0,0
215,Chuadanga,0,2014,1090,5,509,0,0,0,0,0,0
216,Chuadanga,0,2015,1465,18,469,37.8,3.663,0,0,0,0
217,Patuakhali,70,2009,2309,5,69,0,0,0.252,290.67,478,4780
218,Patuakhali,0,2010,2167,4,67,0,0,0,0,0,0
219,Patuakhali,0,2011,2414,4,55,0,0,0,0,0,0
220,Patuakhali,0,2012,1895,1,40,0,0,0,0,0,0
221,Patuakhali,0,2013,2658,2,33,0,0,0,0,0,0
222,Patuakhali,0,2014,2028,2,41,45.36,4.395,0,0,0,0
223,Patuakhali,84,2015,3098,2,42,21820.86,2114.441,0.24,189.606,547,5470
224,Bogra,40409,2009,1410,132,741,23316.12,2259.332,0.247,290.67,215258,2152580
225,Bogra,43178,2010,1271,135,760,22993.2,2228.041,0.247,276.765,242177,2421770
226,Bogra,42580,2011,1721,134,733,24014.34,2326.99,0.23,235.07,224598,2245980
227,Bogra,44471,2012,1140,135,735,23831.28,2309.251,0.249,227.999,232265,2322650
228,Bogra,44132,2013,1219,135,734,21049.2,2039.667,0.238,254.012,225684,2256840
229,Bogra,38980,2014,1708,160,791,24036.48,2329.135,0.225,213.866,211909,2119090
230,Bogra,44512,2015,1581,132,747,9450,915.705,0.223,189.606,231741,2317410
231,Joypurhat,17500,2009,3004,80,288,10072.08,975.985,0.227,290.67,98422,984220
232,Joypurhat,18652,2010,2808,78,294,9098.46,881.641,0.252,276.765,100863,1008630
233,Joypurhat,16849,2011,3002,77,293,8097.84,784.681,0.264,235.07,92075,920750
234,Joypurhat,14996,2012,3234,79,292,6627.96,642.249,0.226,227.999,74303,743030
235,Joypurhat,12274,2013,2466,87,300,6522.66,632.046,0.265,254.012,59560,595600
236,Joypurhat,12079,2014,3044,80,292,7876.98,763.279,0.221,213.866,64958,649580
237,Joypurhat,14587,2015,2813,80,292,9216.72,893.1,0.237,189.606,69587,695870
238,Dinajpur,17068,2009,3209,100,903,8485.56,822.251,0.243,290.67,88526,885260
239,Dinajpur,15714,2010,1641,99,890,8367.3,810.791,0.22,276.765,65073,650730
240,Dinajpur,15495,2011,1644,106,888,9407.34,911.571,0.288,235.07,68874,688740
241,Dinajpur,17421,2012,1511,104,880,8713.44,844.332,0.263,227.999,70874,708740
242,Dinajpur,16136,2013,1827,101,889,8972.1,869.396,0.232,254.012,75193,751930
243,Dinajpur,16615,2014,1398,114,948,9495.36,920.1,0.25,213.866,79242,792420
244,Dinajpur,17584,2015,1965,110,924,3427.38,332.113,0.221,189.606,78542,785420
245,Thakurgaon,6347,2009,1875,59,421,3046.14,295.171,0.253,290.67,27362,273620
246,Thakurgaon,5641,2010,2452,59,421,2939.76,284.863,0.236,276.765,23756,237560
247,Thakurgaon,5444,2011,2290,56,434,2363.58,229.031,0.25,235.07,23056,230560
248,Thakurgaon,4377,2012,2050,59,471,2154.6,208.781,0.211,227.999,18678,186780
249,Thakurgaon,3990,2013,1927,58,422,2583.36,250.328,0.206,254.012,17531,175310
250,Thakurgaon,4784,2014,2352,55,423,2583.9,250.38,0.286,213.866,20688,206880
251,Thakurgaon,4785,2015,2282,56,436,2731.32,264.665,0.209,189.606,21008,210080
252,Panchagar,5058,2009,2518,19,162,2277.18,220.659,0.272,290.67,20005,200050
253,Panchagar,4217,2010,1859,19,159,2373.3,229.973,0.215,276.765,16515,165150
254,Panchagar,4395,2011,1391,19,160,2340.9,226.833,0.232,235.07,17947,179470
255,Panchagar,4335,2012,1820,19,158,1451.52,140.652,0.206,227.999,17567,175670
256,Panchagar,2688,2013,1662,24,191,1725.3,167.182,0.238,254.012,10557,105570
257,Panchagar,3195,2014,1909,24,192,2567.16,248.758,0.277,213.866,12148,121480
258,Panchagar,4754,2015,1617,19,160,253.26,24.541,0.257,189.606,19742,197420
259,Pabna,469,2009,2012,4,702,181.98,17.634,0.257,290.67,1329,13290
260,Pabna,337,2010,1920,5,749,180.36,17.477,0.217,276.765,949,9490
261,Pabna,334,2011,1774,4,825,158.22,15.332,0.206,235.07,920,9200
262,Pabna,293,2012,2015,2,416,157.68,15.279,0.29,227.999,811,8110
263,Pabna,292,2013,1493,2,358,94.5,9.157,0.235,254.012,928,9280
264,Pabna,175,2014,2194,2,364,147.96,14.337,0.271,213.866,556,5560
265,Pabna,274,2015,1596,1,349,972.54,94.239,0.224,189.606,1524,15240
266,Sirajgonj,1801,2009,1806,3,483,1017.36,98.582,0.217,290.67,5886,58860
267,Sirajgonj,1884,2010,1357,3,487,1223.1,118.518,0.249,276.765,6130,61300
268,Sirajgonj,2265,2011,1948,2,482,1097.28,106.326,0.217,235.07,8034,80340
269,Sirajgonj,2032,2012,1645,3,480,1256.58,121.763,0.216,227.999,7453,74530
270,Sirajgonj,2327,2013,2064,3,489,891.54,86.39,0.204,254.012,8220,82200
271,Sirajgonj,1651,2014,2152,3,493,1071.9,103.867,0.282,213.866,6111,61110
272,Sirajgonj,1985,2015,1436,3,487,7980.12,773.274,0.276,189.606,7142,71420
273,Rajshahi,14778,2009,1043,101,621,6611.76,640.68,0.288,290.67,75942,759420
274,Rajshahi,12244,2010,792,92,633,6492.42,629.115,0.247,276.765,59191,591910
275,Rajshahi,12023,2011,1475,106,634,6645.24,643.924,0.218,235.07,57898,578980
276,Rajshahi,12306,2012,1164,98,622,6146.82,595.627,0.246,227.999,60754,607540
277,Rajshahi,11383,2013,1248,104,624,5944.32,576.005,0.29,254.012,55662,556620
278,Rajshahi,11008,2014,1188,86,586,5910.84,572.76,0.272,213.866,51457,514570
279,Rajshahi,10946,2015,1421,85,602,11915.64,1154.626,0.205,189.606,50142,501420
280,Noagaon,22066,2009,1875,55,923,12740.76,1234.58,0.226,290.67,107875,1078750
281,Noagaon,23594,2010,2452,56,924,13571.82,1315.109,0.255,276.765,122470,1224700
282,Noagaon,25133,2011,2290,56,918,12992.4,1258.964,0.279,235.07,126416,1264160
283,Noagaon,24060,2012,2050,52,919,11323.8,1097.276,0.242,227.999,123425,1234250
284,Noagaon,20970,2013,1927,56,919,13315.32,1290.255,0.243,254.012,106455,1064550
2285,Noagaon,24658,2014,2352,50,899,13788.36,1336.092,0.273,213.866,120952,1209520
286,Noagaon,25534,2015,2282,51,904,237.6,23.023,0.234,189.606,128122,1281220
287,Natore,440,2009,1690,2,372,257.58,24.96,0.278,290.67,1832,18320
288,Natore,477,2010,1720,2,367,250.56,24.279,0.243,276.765,1596,15960
289,Natore,464,2011,1673,2,371,39.42,3.82,0.243,235.07,2007,20070
290,Natore,73,2012,2247,2,366,56.7,5.494,0.246,227.999,292,2920
291,Natore,105,2013,1784,2,367,170.64,16.535,0.246,254.012,442,4420
292,Natore,316,2014,1831,2,372,295.38,28.622,0.218,213.866,1416,14160
293,Natore,547,2015,1508,2,364,294.84,28.57,0.217,189.606,2145,21450
294,Nawabgonj,546,2009,2110,2,320,333.18,32.285,0.247,290.67,2469,24690
295,Nawabgonj,617,2010,1584,2,333,353.16,34.221,0.285,276.765,2884,28840
296,Nawabgonj,654,2011,1409,2,337,221.94,21.506,0.249,235.07,3015,30150
297,Nawabgonj,411,2012,1509,2,329,160.38,15.541,0.267,227.999,2074,20740
298,Nawabgonj,297,2013,1279,3,332,273.24,26.477,0.289,254.012,1065,10650
299,Nawabgonj,506,2014,1639,4,332,206.28,19.989,0.268,213.866,2063,20630
300,Nawabgonj,382,2015,1552,2,334,4866.48,471.562,0.217,189.606,1549,15490
301,Rangpur,9012,2009,2217,118,551,4935.6,478.26,0.205,290.67,33004,330040
302,Rangpur,9140,2010,2102,119,543,4995,484.016,0.276,276.765,36110,361100
303,Rangpur,9250,2011,1932,117,521,5167.8,500.76,0.217,235.07,39393,393930
304,Rangpur,9570,2012,1877,117,522,5930.82,574.696,0.283,227.999,47011,470110
305,Rangpur,10983,2013,1916,117,546,4375.08,423.945,0.228,254.012,53025,530250
306,Rangpur,8102,2014,1591,119,522,5316.3,515.149,0.25,213.866,42240,422400
307,Rangpur,9845,2015,2417,110,517,726.3,70.378,0.251,189.606,47581,475810
308,Gaibanda,1345,2009,1279,20,398,688.5,66.716,0.253,290.67,3256,32560
309,Gaibanda,1275,2010,1639,20,396,1076.76,104.338,0.281,276.765,3980,39800
310,Gaibanda,1994,2011,1552,21,406,712.26,69.018,0.226,235.07,7973,79730
311,Gaibanda,1319,2012,1827,21,420,608.04,58.919,0.264,227.999,4399,43990
312,Gaibanda,1126,2013,1649,21,424,1039.5,100.728,0.225,254.012,3978,39780
313,Gaibanda,1925,2014,2117,20,390,723.06,70.065,0.264,213.866,6697,66970
314,Gaibanda,1339,2015,1679,21,401,567,54.942,0.249,189.606,4751,47510
315,Kurigram,1050,2009,1580,18,317,518.4,50.233,0.276,290.67,3759,37590
316,Kurigram,960,2010,1330,18,322,665.28,64.466,0.287,276.765,3313,33130
317,Kurigram,1232,2011,1613,18,312,666.9,64.623,0.279,235.07,4535,45350
318,Kurigram,1235,2012,1546,18,321,698.76,67.71,0.247,227.999,4762,47620
319,Kurigram,1294,2013,1523,18,319,844.56,81.838,0.221,254.012,5168,51680
320,Kurigram,1564,2014,1776,12,304,856.44,82.989,0.26,213.866,6832,68320
321,Kurigram,1586,2015,1329,12,310,2440.8,236.514,0.237,189.606,7041,70410
322,Nilphamari,4520,2009,1590,12,312,2147.04,208.048,0.282,290.67,18073,180730
323,Nilphamari,3976,2010,1399,12,315,2197.8,212.967,0.225,276.765,17296,172960
324,Nilphamari,4070,2011,2166,11,317,2182.14,211.449,0.288,235.07,17015,170150
325,Nilphamari,4041,2012,1365,54,367,2412.72,233.793,0.271,227.999,16276,162760
326,Nilphamari,4468,2013,2892,49,329,2080.08,201.56,0.263,254.012,20157,201570
